MSSubClass,MSZoning,LotFrontage,LotArea,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtUnfSF,Heating,HeatingQC,CentralAir,Electrical,LowQualFinSF,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,FireplaceQu,GarageType,GarageFinish,GarageCars,GarageQual,GarageCond,PavedDrive,WoodDeckSF,MiscVal,MoSold,SaleType,SaleCondition,SalePrice,BsmtFinType1_BLQ,BsmtFinType1_GLQ,BsmtFinType1_LwQ,BsmtFinType1_NoBasement,BsmtFinType1_Rec,BsmtFinType1_Unf,BsmtFinType2_BLQ,BsmtFinType2_GLQ,BsmtFinType2_LwQ,BsmtFinType2_NoBasement,BsmtFinType2_Rec,BsmtFinType2_Unf,TotalPorchSF,TotalArea,LivingToLotRatio,TotalFinSF,RemodAge,GarageAge,IsNew,IsRemodeled,OverallScore,HasFireplace,HasPool,HasGarage,HasBsmt,Has2ndFloor,IsPaved
20,RL,70.0,11200,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,Hip,CompShg,HdBoard,HdBoard,0.0,3,3,CBlock,3,3,0,134,GasA,5,Y,SBrkr,0,1,0,1,0,3,1,3,5,Typ,0,Detchd,Unf,1,3,3,Y,0,0,2,WD,Normal,129500,False,False,False,False,True,False,False,False,False,False,False,True,0,2464,0.09285714285714286,1946,43,43.0,0,0,5.0,0,0,1,1,0,1
60,RL,85.0,11924,IR1,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,2Story,Hip,CompShg,WdShing,Wd Shng,286.0,5,3,PConc,5,3,0,177,GasA,5,Y,SBrkr,0,1,0,3,0,4,1,5,11,Typ,4,BuiltIn,Fin,3,3,3,Y,147,0,7,New,Partial,345000,False,True,False,False,False,False,False,False,False,False,False,True,21,4235,0.1949010399194901,3322,0,1.0,0,1,7.8,1,0,1,1,1,1
20,RL,,12968,IR2,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,Hip,CompShg,HdBoard,Plywood,0.0,3,3,CBlock,3,3,0,175,GasA,3,Y,SBrkr,0,1,0,1,0,2,1,3,4,Typ,0,Detchd,Unf,1,3,3,Y,140,0,9,WD,Normal,144000,False,False,False,False,False,False,False,False,False,False,False,True,176,2176,0.0703269586674892,1649,46,46.0,0,0,5.3,0,0,1,1,0,1
20,RL,91.0,10652,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,Gable,CompShg,VinylSd,VinylSd,306.0,4,3,PConc,4,3,2,1494,GasA,5,Y,SBrkr,0,0,0,2,0,3,1,4,7,Typ,4,Attchd,RFn,3,3,3,Y,160,0,8,New,Partial,279500,False,False,False,False,False,True,False,False,False,False,False,True,33,3828,0.14025535110777318,1494,0,1.0,0,1,6.3999999999999995,1,0,1,1,0,1
20,RL,,10920,IR1,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,Hip,CompShg,MetalSd,MetalSd,212.0,3,3,CBlock,3,3,0,520,GasA,3,Y,SBrkr,0,1,0,1,1,2,1,3,5,Typ,2,Attchd,RFn,1,3,3,Y,0,0,5,WD,Normal,157000,True,False,False,False,False,False,False,False,False,False,False,True,389,2858,0.11474358974358974,1986,48,48.0,0,0,5.699999999999999,1,0,1,1,0,1
45,RM,51.0,6120,Reg,Lvl,AllPub,Corner,Gtl,BrkSide,Norm,Norm,1Fam,1.5Unf,Gable,CompShg,Wd Sdng,Wd Sdng,0.0,3,3,BrkTil,3,3,0,832,GasA,5,Y,FuseA,0,0,0,1,0,2,1,3,5,Typ,0,Detchd,Unf,2,3,3,Y,48,0,7,WD,Normal,132000,False,False,False,False,False,True,False,False,False,False,False,True,112,2262,0.13954248366013072,854,6,16.0,0,1,7.299999999999999,0,0,1,1,0,1
20,RL,,11241,IR1,Lvl,AllPub,CulDSac,Gtl,NAmes,Norm,Norm,1Fam,1Story,Gable,CompShg,Wd Sdng,Wd Sdng,180.0,3,3,CBlock,3,3,0,426,GasA,5,Y,SBrkr,0,1,0,1,0,2,1,3,5,Typ,3,Attchd,Fin,2,3,3,Y,0,700,3,WD,Normal,149000,False,False,False,False,False,False,False,False,False,False,False,True,0,2488,0.08931589716217418,1582,40,40.0,0,0,6.299999999999999,1,0,1,1,0,1
90,RL,72.0,10791,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,Duplex,1Story,Gable,CompShg,MetalSd,MetalSd,0.0,3,3,Slab,0,0,0,0,GasA,3,Y,SBrkr,0,0,0,2,0,2,2,3,6,Typ,0,CarPort,Unf,2,3,3,Y,0,500,10,WD,Normal,90000,False,False,False,True,False,False,False,False,False,True,False,False,0,1812,0.12010008340283569,1296,39,39.0,0,0,4.3,0,0,1,0,0,1
20,RL,66.0,13695,Reg,Lvl,AllPub,Inside,Gtl,SawyerW,RRAe,Norm,1Fam,1Story,Gable,CompShg,VinylSd,VinylSd,0.0,3,3,PConc,3,3,0,468,GasA,5,Y,SBrkr,0,1,0,1,1,3,1,4,6,Typ,0,Detchd,Unf,2,3,3,Y,0,0,6,WD,Normal,159000,False,True,False,False,False,False,False,False,False,False,False,True,102,2804,0.08134355604235122,1760,4,4.0,0,0,5.0,0,0,1,1,0,1
20,RL,70.0,7560,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,Hip,CompShg,BrkFace,Plywood,0.0,3,3,CBlock,3,3,0,525,GasA,3,Y,SBrkr,0,0,0,1,0,3,1,3,6,Min1,0,Attchd,Unf,1,3,3,Y,0,0,5,COD,Abnorml,139000,False,False,True,False,False,False,False,False,False,False,False,True,0,2662,0.17711640211640212,1843,44,51.0,0,1,5.3,0,0,1,1,0,1
60,RL,101.0,14215,IR1,Lvl,AllPub,Corner,Gtl,NridgHt,Norm,Norm,1Fam,2Story,Gable,CompShg,VinylSd,VinylSd,380.0,4,3,PConc,5,3,2,1158,GasA,5,Y,SBrkr,0,0,0,3,1,4,1,4,9,Typ,4,BuiltIn,RFn,3,3,3,Y,240,0,11,New,Partial,325300,False,False,False,False,False,True,False,False,False,False,False,True,154,4387,0.1671473795286669,2376,0,1.0,0,1,7.1,1,0,1,1,1,1
45,RM,57.0,7449,Reg,Bnk,AllPub,Inside,Gtl,IDOTRR,Norm,Norm,1Fam,1.5Unf,Gable,CompShg,Wd Sdng,Wd Sdng,0.0,3,3,PConc,3,3,0,637,GasA,5,Y,FuseF,0,0,0,1,0,3,1,4,6,Typ,4,Attchd,Unf,1,3,3,N,0,0,6,WD,Normal,139400,False,False,False,False,False,True,False,False,False,False,False,True,205,2025,0.14874479795945764,1108,57,77.0,0,1,7.0,1,0,1,1,0,1
20,RL,75.0,9742,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,Hip,CompShg,VinylSd,VinylSd,281.0,4,3,PConc,4,3,0,1777,GasA,5,Y,SBrkr,0,0,0,2,0,3,1,4,7,Typ,4,Attchd,RFn,2,3,3,Y,171,0,9,WD,Normal,230000,False,False,False,False,False,True,False,False,False,False,False,True,159,4106,0.18425374666392938,1795,6,6.0,0,0,7.1,1,0,1,1,0,1
120,RM,44.0,4224,Reg,Lvl,AllPub,Inside,Gtl,MeadowV,Norm,Norm,TwnhsE,1Story,Gable,CompShg,CemntBd,CmentBd,0.0,3,3,PConc,4,3,0,200,GasA,3,Y,SBrkr,0,1,0,1,0,3,1,3,6,Typ,3,Attchd,Unf,2,3,3,Y,100,0,6,WD,Normal,129900,False,True,False,False,False,False,False,False,False,False,False,True,110,2672,0.2509469696969697,1900,31,31.0,0,0,5.6,1,0,1,1,0,1
20,RL,,8246,IR1,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,Gable,CompShg,Plywood,Plywood,0.0,3,4,CBlock,3,3,1,204,GasA,5,Y,SBrkr,0,1,0,1,0,3,1,4,6,Typ,3,Attchd,Unf,1,3,3,Y,406,0,5,WD,Normal,154000,False,False,False,False,True,False,False,False,False,False,False,False,90,2390,0.12854717438758187,1916,9,42.0,0,1,5.9,1,0,1,1,0,1
20,RL,110.0,14230,Reg,Lvl,AllPub,Corner,Gtl,NridgHt,Norm,Norm,1Fam,1Story,Gable,CompShg,VinylSd,VinylSd,640.0,4,3,PConc,4,3,0,1566,GasA,5,Y,SBrkr,0,0,0,2,0,3,1,4,7,Typ,4,Attchd,RFn,3,3,3,Y,0,0,7,WD,Normal,256300,False,False,False,False,False,True,False,False,False,False,False,True,56,4056,0.11243851018973998,1600,2,2.0,0,0,7.1,1,0,1,1,0,1
20,RL,60.0,7200,Reg,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,Gable,CompShg,Wd Sdng,Wd Sdng,0.0,3,3,CBlock,3,3,1,180,GasA,3,Y,SBrkr,0,0,1,1,0,3,1,4,5,Typ,0,Detchd,Unf,2,3,3,Y,222,0,5,WD,Normal,134800,True,False,False,False,False,False,False,False,False,False,True,False,32,2376,0.125,1620,10,5.0,0,1,5.6,0,0,1,1,0,1
20,RL,98.0,11478,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,1Story,Gable,CompShg,VinylSd,VinylSd,200.0,4,3,PConc,5,3,0,486,GasA,5,Y,SBrkr,0,1,0,2,0,3,1,4,7,Typ,4,Attchd,RFn,3,3,3,Y,0,0,5,WD,Normal,306000,False,True,False,False,False,False,False,False,False,False,False,True,50,4180,0.14845791949817042,2922,2,2.0,0,1,7.1,1,0,1,1,0,1
20,RL,47.0,16321,IR1,Lvl,AllPub,CulDSac,Gtl,NAmes,Norm,Norm,1Fam,1Story,Gable,CompShg,MetalSd,MetalSd,0.0,3,3,CBlock,3,3,3,207,GasA,3,Y,SBrkr,0,1,0,1,0,2,1,3,6,Typ,4,Attchd,RFn,1,3,3,Y,288,0,12,WD,Normal,207500,True,False,False,False,False,False,False,False,False,False,False,True,258,3403,0.09803320874946388,2877,9,49.0,0,1,5.3,1,0,1,1,0,1
30,RM,60.0,6324,IR1,Lvl,AllPub,Inside,Gtl,BrkSide,Feedr,RRNn,1Fam,1Story,Gable,CompShg,MetalSd,MetalSd,0.0,3,3,BrkTil,3,3,0,520,GasA,2,N,SBrkr,0,0,0,1,0,1,1,2,4,Typ,0,Detchd,Unf,1,2,3,Y,49,0,5,WD,Normal,68500,False,False,False,False,False,True,False,False,False,False,False,True,87,1280,0.08222643896268185,520,58,88.0,0,1,4.6,0,0,1,1,0,1
70,C (all),50.0,8500,Reg,Lvl,AllPub,Inside,Gtl,IDOTRR,Feedr,Norm,1Fam,2Story,Gambrel,CompShg,BrkFace,BrkFace,0.0,3,2,BrkTil,3,3,0,649,GasA,3,N,SBrkr,0,0,0,1,0,3,1,3,6,Typ,0,Detchd,Unf,1,3,2,N,0,0,7,WD,Normal,40000,False,False,False,False,False,True,False,False,False,False,False,True,226,2216,0.15494117647058825,1317,58,88.0,0,1,4.0,0,0,1,1,1,1
20,RL,,8544,IR1,Lvl,AllPub,CulDSac,Gtl,Sawyer,Norm,Norm,1Fam,1Story,Gable,CompShg,HdBoard,HdBoard,0.0,3,3,CBlock,3,3,0,1228,GasA,4,Y,SBrkr,0,0,0,1,1,3,1,4,6,Typ,0,Attchd,Unf,1,3,3,Y,0,0,6,WD,Normal,149350,False,False,False,False,False,True,False,False,False,False,False,True,65,2727,0.14372659176029962,1228,2,42.0,0,1,5.3,0,0,1,1,0,1
20,RL,85.0,11049,Reg,Lvl,AllPub,Corner,Gtl,CollgCr,Norm,Norm,1Fam,1Story,Gable,CompShg,VinylSd,VinylSd,0.0,4,3,PConc,5,3,2,1234,GasA,5,Y,SBrkr,0,0,0,2,0,3,1,4,7,Typ,0,Attchd,RFn,2,3,3,Y,0,0,1,WD,Normal,179900,False,False,False,False,False,True,False,False,False,False,False,True,30,2952,0.11168431532265363,1234,1,1.0,0,0,7.1,0,0,1,1,0,1
20,RL,70.0,10552,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,Hip,CompShg,BrkFace,BrkFace,0.0,3,3,CBlock,3,3,0,380,GasA,4,Y,SBrkr,0,0,1,1,1,4,1,4,6,Typ,4,Attchd,RFn,2,3,3,Y,0,0,4,WD,Normal,165500,False,False,False,False,True,False,False,False,False,False,False,True,38,3545,0.16110689916603488,2718,51,51.0,0,0,5.0,1,0,1,1,0,1
120,RL,60.0,7313,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,TwnhsE,1Story,Hip,CompShg,MetalSd,MetalSd,246.0,5,3,PConc,5,3,0,408,GasA,5,Y,SBrkr,0,1,0,2,0,2,1,5,6,Typ,4,Attchd,Fin,2,3,3,Y,203,0,8,WD,Normal,277500,False,True,False,False,False,False,False,False,False,False,False,True,47,3678,0.21345549022289073,2714,2,2.0,0,0,7.8,1,0,1,1,0,1
60,RL,108.0,13418,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,2Story,Gable,CompShg,VinylSd,VinylSd,132.0,4,3,PConc,5,3,2,1117,GasA,5,Y,SBrkr,0,0,0,3,1,4,1,4,9,Typ,4,BuiltIn,Fin,3,3,3,Y,113,0,9,WD,Normal,309000,False,False,False,False,False,True,False,False,False,False,False,True,32,4260,0.18273960351766283,2452,1,2.0,0,1,7.1,1,0,1,1,1,1
20,RL,112.0,10859,Reg,Lvl,AllPub,Corner,Gtl,CollgCr,Norm,Norm,1Fam,1Story,Gable,CompShg,VinylSd,VinylSd,0.0,3,3,PConc,4,3,0,1097,GasA,5,Y,SBrkr,0,0,0,1,1,3,1,3,6,Typ,0,Attchd,Unf,2,3,3,Y,392,0,6,WD,Normal,145000,False,False,False,False,False,True,False,False,False,False,False,True,64,2866,0.10102219357215213,1097,14,14.0,0,1,5.0,0,0,1,1,0,1
20,RL,74.0,8532,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,Hip,CompShg,Wd Sdng,Wd Sdng,650.0,3,3,CBlock,3,3,0,84,GasA,4,Y,SBrkr,0,0,1,1,0,3,1,3,5,Typ,3,Attchd,Fin,2,3,3,Y,0,0,10,WD,Normal,153000,False,False,False,False,True,False,False,False,False,False,False,True,0,3092,0.15201593999062354,2510,19,55.0,0,1,5.3,1,0,1,1,0,1
20,RL,68.0,7922,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,Gable,CompShg,VinylSd,VinylSd,0.0,3,4,CBlock,3,3,0,326,GasA,3,Y,SBrkr,0,1,0,1,0,3,1,4,5,Typ,0,Detchd,Unf,1,3,3,Y,0,0,1,WD,Abnorml,109000,False,True,False,False,False,False,False,False,False,False,False,True,52,2360,0.13342590254986114,1788,3,57.0,0,1,5.6,0,0,1,1,0,1
90,RL,65.0,6040,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,Duplex,1Story,Gable,CompShg,AsbShng,Plywood,0.0,3,3,PConc,0,0,0,0,GasA,3,N,FuseP,0,0,0,2,0,2,2,2,6,Typ,0,,,0,0,0,N,0,0,6,WD,AdjLand,82000,False,False,False,True,False,False,False,False,False,True,False,False,0,1152,0.19072847682119207,1152,53,,0,0,4.3,0,0,0,0,0,1
20,RL,84.0,8658,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,Gable,CompShg,Wd Sdng,Wd Sdng,101.0,3,3,CBlock,3,3,0,445,GasA,5,Y,SBrkr,0,0,0,2,0,3,1,3,6,Typ,3,Attchd,RFn,2,3,3,Y,0,0,12,WD,Abnorml,160000,False,False,False,False,True,False,False,False,False,False,False,True,138,2852,0.15292215292215292,1967,41,41.0,0,0,5.699999999999999,1,0,1,1,0,1
20,RL,115.0,16905,Reg,Lvl,AllPub,Inside,Gtl,Timber,Norm,Norm,1Fam,1Story,Gable,CompShg,VinylSd,VinylSd,0.0,3,4,CBlock,3,3,3,383,GasA,4,Y,SBrkr,0,0,1,1,1,2,1,3,5,Typ,4,Attchd,RFn,1,3,3,P,0,0,7,WD,Normal,170000,True,False,False,False,False,False,False,False,False,False,False,True,104,2986,0.07855664004732328,2295,48,48.0,0,0,5.3,1,0,1,1,0,1
85,RL,,9180,IR1,Lvl,AllPub,CulDSac,Gtl,SawyerW,Norm,Norm,1Fam,SFoyer,Gable,CompShg,HdBoard,HdBoard,0.0,3,3,CBlock,4,3,2,0,GasA,4,Y,SBrkr,0,1,0,1,0,2,1,4,5,Typ,0,Attchd,RFn,2,3,4,Y,240,0,12,WD,Normal,144000,False,False,False,False,False,False,False,False,True,False,False,False,0,2228,0.0962962962962963,1724,24,24.0,0,0,5.6,0,0,1,1,0,1
20,RL,,9200,IR1,Lvl,AllPub,CulDSac,Gtl,CollgCr,Norm,Norm,1Fam,1Story,Hip,CompShg,VinylSd,VinylSd,0.0,3,3,CBlock,4,3,2,167,GasA,3,Y,SBrkr,0,1,0,1,0,3,1,3,5,Typ,0,Detchd,Unf,1,3,3,Y,145,0,7,WD,Normal,130250,False,False,True,False,False,False,True,False,False,False,False,False,0,2184,0.10195652173913043,1709,28,31.0,0,1,5.3,0,0,1,1,0,1
20,RL,70.0,7945,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,Gable,CompShg,BrkFace,Wd Sdng,0.0,3,3,CBlock,3,3,0,465,GasA,5,Y,FuseA,0,1,0,1,0,3,1,3,6,Typ,0,Attchd,RFn,1,3,3,Y,0,0,5,WD,Normal,141000,False,False,False,False,False,False,True,False,False,False,False,False,0,2600,0.144745122718691,1835,47,47.0,0,0,5.3,0,0,1,1,0,1
120,RL,61.0,7658,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,TwnhsE,1Story,Hip,CompShg,MetalSd,MetalSd,412.0,5,3,PConc,5,3,0,1296,GasA,5,Y,SBrkr,0,1,0,2,0,2,1,5,6,Typ,4,Attchd,RFn,2,3,3,Y,196,0,2,WD,Normal,319900,False,True,False,False,False,False,False,False,False,False,False,True,82,4080,0.2287803604074171,2208,5,5.0,0,0,7.8,1,0,1,1,0,1
50,RL,48.0,12822,IR1,Lvl,AllPub,CulDSac,Gtl,Mitchel,Norm,Norm,1Fam,1.5Fin,Gable,CompShg,VinylSd,VinylSd,0.0,4,3,PConc,5,3,0,83,GasA,5,Y,SBrkr,0,1,0,1,1,1,1,4,6,Typ,5,Attchd,RFn,2,3,3,Y,168,0,8,WD,Abnorml,239686,False,True,False,False,False,False,False,False,False,False,False,True,241,4253,0.16760255810326002,3500,6,6.0,0,0,6.3999999999999995,1,0,1,1,1,1
20,FV,84.0,11096,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,1Story,Gable,CompShg,VinylSd,VinylSd,0.0,4,3,PConc,4,3,2,1632,GasA,5,Y,SBrkr,0,0,0,2,0,3,1,4,7,Typ,0,Attchd,RFn,3,3,3,Y,0,0,7,WD,Normal,249700,False,True,False,False,False,False,False,False,False,False,False,True,146,4138,0.14924297043979812,1680,1,1.0,0,0,7.1,0,0,1,1,0,1
190,RM,33.0,4456,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,2fmCon,2Story,Gable,CompShg,MetalSd,MetalSd,0.0,3,3,BrkTil,3,3,0,736,GasA,4,Y,SBrkr,0,0,0,2,0,2,3,3,8,Typ,0,,,0,0,0,N,0,0,6,New,Partial,113000,False,False,False,False,False,True,False,False,False,False,False,True,102,2188,0.3258527827648115,1452,1,,0,1,4.3,0,0,0,1,1,1
20,RL,66.0,7742,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,Gable,CompShg,HdBoard,HdBoard,0.0,3,3,CBlock,3,3,0,192,GasA,5,Y,SBrkr,0,1,0,1,0,3,1,3,6,Typ,0,Attchd,Unf,1,3,3,Y,0,0,1,WD,Normal,127000,True,False,False,False,False,False,False,False,False,False,False,True,0,2296,0.12335313872384397,1718,41,41.0,0,0,5.6,0,0,1,1,0,1
60,RL,,13869,IR2,Lvl,AllPub,Corner,Gtl,Gilbert,Norm,Norm,1Fam,2Story,Gable,CompShg,VinylSd,VinylSd,0.0,3,3,PConc,4,3,2,612,GasA,4,Y,SBrkr,0,0,1,2,0,3,1,3,6,Typ,0,Attchd,Fin,2,3,3,Y,0,0,7,WD,Normal,177000,False,True,False,False,False,False,False,False,False,False,False,True,75,2652,0.10599178022928835,1652,10,10.0,0,0,5.999999999999999,0,0,1,1,1,1
50,RM,52.0,6240,Reg,Lvl,AllPub,Inside,Gtl,BrkSide,Norm,Norm,1Fam,1.5Fin,Gable,CompShg,Wd Sdng,Wd Sdng,0.0,3,3,PConc,3,3,0,816,GasA,3,Y,SBrkr,360,0,0,1,0,3,1,3,6,Typ,4,Detchd,Unf,2,3,3,Y,112,400,9,WD,Normal,114500,False,False,False,False,False,True,False,False,False,False,False,True,0,2520,0.18846153846153846,816,56,21.0,0,1,5.999999999999999,1,0,1,1,0,1
