BsmtExposure,GarageYrBlt,MasVnrArea,OverallQual,GrLivArea,GarageType,GarageArea,Exterior2nd,1stFlrSF,2ndFlrSF,BsmtQual,FireplaceQu,KitchenQual,Neighborhood,SaleCondition,YearRemodAdd,LandContour,ExterQual,SaleType,GarageFinish,OverallCond,GarageCars,WoodDeckSF,BsmtFinSF1,LotFrontage,YearBuilt,Exterior1st,TotRmsAbvGrd,TotalBsmtSF,SalePrice
0,1920.0,0.0,4,1317,Detchd,250,BrkFace,649,668,3,0,3,IDOTRR,Normal,1950,Lvl,3,WD,Unf,4,1,0,0,50.0,1920,BrkFace,6,649,40000
0,1966.0,0.0,5,1228,Attchd,271,HdBoard,1228,0,3,0,4,Sawyer,Normal,2006,Lvl,3,WD,Unf,6,1,0,0,,1966,HdBoard,6,1228,149350
2,2007.0,0.0,8,1234,Attchd,484,VinylSd,1234,0,5,0,4,CollgCr,Normal,2007,Lvl,4,WD,RFn,5,2,0,0,85.0,2007,VinylSd,7,1234,179900
0,1959.0,0.0,5,1700,Attchd,447,BrkFace,1700,0,3,4,4,NAmes,Normal,1959,Lvl,3,WD,RFn,5,2,0,1018,70.0,1959,BrkFace,6,1398,165500
0,2005.0,246.0,9,1561,Attchd,556,MetalSd,1561,0,5,4,5,NridgHt,Normal,2005,Lvl,5,WD,Fin,5,2,203,1153,60.0,2005,MetalSd,6,1561,277500
2,2004.0,132.0,8,2452,BuiltIn,691,VinylSd,1132,1320,5,4,4,NridgHt,Normal,2005,Lvl,4,WD,Fin,5,3,113,0,108.0,2004,VinylSd,9,1117,309000
0,1995.0,0.0,5,1097,Attchd,672,VinylSd,1097,0,4,0,3,CollgCr,Normal,1995,Lvl,3,WD,Unf,5,2,392,0,112.0,1994,VinylSd,6,1097,145000
0,1954.0,650.0,5,1297,Attchd,498,Wd Sdng,1297,0,3,3,3,NAmes,Normal,1990,Lvl,3,WD,Fin,6,2,0,1213,74.0,1954,Wd Sdng,5,1297,153000
0,1953.0,0.0,5,1057,Detchd,246,VinylSd,1057,0,3,0,4,NAmes,Abnorml,2007,Lvl,3,WD,Unf,7,1,0,731,68.0,1953,VinylSd,5,1057,109000
0,,0.0,4,1152,,0,Plywood,1152,0,0,0,2,Edwards,AdjLand,1955,Lvl,3,WD,,5,0,0,0,65.0,1955,AsbShng,6,0,82000
0,1965.0,101.0,6,1324,Attchd,440,Wd Sdng,1324,0,3,3,3,NAmes,Abnorml,1965,Lvl,3,WD,RFn,5,2,0,643,84.0,1965,Wd Sdng,6,1088,160000
3,1959.0,0.0,5,1328,Attchd,308,VinylSd,1328,0,3,4,3,Timber,Normal,1959,Lvl,3,WD,RFn,6,1,0,967,115.0,1959,VinylSd,5,1350,170000
2,1983.0,0.0,5,884,Attchd,504,HdBoard,884,0,4,0,4,SawyerW,Normal,1983,Lvl,3,WD,RFn,7,2,240,747,,1983,HdBoard,5,840,144000
2,1977.0,0.0,5,938,Detchd,308,VinylSd,938,0,4,0,3,CollgCr,Normal,1980,Lvl,3,WD,Unf,6,1,145,280,,1975,VinylSd,5,938,130250
0,1959.0,0.0,5,1150,Attchd,300,Wd Sdng,1150,0,3,0,3,NAmes,Normal,1959,Lvl,3,WD,RFn,6,1,0,179,70.0,1959,BrkFace,6,1150,141000
0,2005.0,412.0,9,1752,Attchd,576,MetalSd,1752,0,5,4,5,NridgHt,Normal,2005,Lvl,5,WD,RFn,5,2,196,456,61.0,2005,MetalSd,6,1752,319900
0,2003.0,0.0,7,2149,Attchd,670,VinylSd,1518,631,5,5,4,Mitchel,Abnorml,2003,Lvl,4,WD,RFn,5,2,168,1351,48.0,2003,VinylSd,6,1434,239686
2,2006.0,0.0,8,1656,Attchd,826,VinylSd,1656,0,4,0,4,Somerst,Normal,2006,Lvl,4,WD,RFn,5,3,0,24,84.0,2006,VinylSd,7,1656,249700
0,,0.0,4,1452,,0,MetalSd,736,716,3,0,3,OldTown,Partial,2008,Lvl,3,New,,5,0,0,0,33.0,1920,MetalSd,8,736,113000
0,1966.0,0.0,5,955,Attchd,386,HdBoard,955,0,3,0,3,Sawyer,Normal,1966,Lvl,3,WD,Unf,7,1,0,763,66.0,1966,HdBoard,6,955,127000
2,1997.0,0.0,6,1470,Attchd,388,VinylSd,794,676,4,0,3,Gilbert,Normal,1997,Lvl,3,WD,Fin,6,2,0,182,,1997,VinylSd,6,794,177000
0,1985.0,0.0,6,1176,Detchd,528,Wd Sdng,816,0,3,4,3,BrkSide,Normal,1950,Lvl,3,WD,Unf,6,2,112,0,52.0,1934,Wd Sdng,6,816,114500
3,1963.0,0.0,5,816,CarPort,516,Wd Sdng,816,0,4,0,3,IDOTRR,Normal,1963,Bnk,2,WD,Unf,5,2,106,104,110.0,1963,Wd Sdng,5,816,110000
3,1981.0,0.0,9,1842,Attchd,894,Wd Shng,1842,0,5,4,4,Veenker,Normal,1987,Low,4,WD,Fin,5,3,857,1810,68.0,1981,WdShing,5,1842,385000
0,1962.0,0.0,5,1360,Detchd,572,MetalSd,1360,0,3,3,3,NAmes,Normal,1955,Bnk,3,WD,Unf,5,2,0,384,60.0,1955,MetalSd,6,384,130000
0,1964.0,272.0,6,1425,Attchd,576,Plywood,1425,0,3,4,3,NAmes,Normal,1964,Lvl,3,WD,RFn,5,2,0,490,100.0,1964,HdBoard,7,1425,180500
0,1999.0,456.0,8,1739,Attchd,480,MetalSd,983,756,4,0,4,Somerst,Abnorml,2000,Lvl,4,WD,Fin,5,2,115,649,24.0,1999,MetalSd,7,970,172500
0,2004.0,0.0,7,1720,Attchd,565,VinylSd,860,860,4,0,4,CollgCr,Normal,2004,Lvl,4,WD,RFn,5,2,0,0,89.0,2004,VinylSd,7,860,196500
3,2006.0,1031.0,10,2945,BuiltIn,641,VinylSd,1426,1519,5,4,4,StoneBr,Partial,2006,HLS,5,New,Fin,5,3,192,0,66.0,2006,VinylSd,10,1410,438780
2,1973.0,0.0,5,780,Detchd,352,HdBoard,780,0,3,0,3,CollgCr,Normal,1972,Bnk,3,WD,Unf,7,1,196,632,60.0,1972,HdBoard,4,780,124900
0,2006.0,0.0,6,1158,Detchd,576,VinylSd,1158,0,4,0,4,SawyerW,Partial,2004,Lvl,3,New,Unf,5,2,0,941,63.0,2004,VinylSd,5,1158,158000
0,1935.0,0.0,5,1111,Detchd,288,MetalSd,581,530,3,0,2,IDOTRR,Normal,1996,Lvl,3,WD,Unf,7,1,0,0,60.0,1920,MetalSd,6,530,101000
1,2006.0,178.0,8,1370,Attchd,484,VinylSd,1370,0,4,4,4,NridgHt,Normal,2006,Lvl,4,WD,RFn,5,2,120,24,44.0,2006,VinylSd,6,1370,202500
0,1990.0,0.0,7,1710,Detchd,480,Stucco,902,808,3,0,3,OldTown,Normal,1950,Bnk,3,WD,Unf,6,2,12,0,50.0,1921,Stucco,9,576,140000
0,1998.0,573.0,7,2034,Attchd,645,VinylSd,1057,977,4,0,4,CollgCr,Normal,1998,Lvl,3,WD,RFn,5,2,576,739,,1997,VinylSd,8,1057,219500
2,2004.0,344.0,8,2473,BuiltIn,852,VinylSd,1143,1330,5,4,4,NridgHt,Normal,2005,Lvl,4,WD,RFn,5,3,192,0,76.0,2004,VinylSd,9,1143,317000
3,1970.0,287.0,7,2207,Attchd,576,Plywood,2207,0,4,4,3,NAmes,Normal,1989,Lvl,3,WD,RFn,5,2,301,912,,1970,Plywood,7,1947,180000
2,2003.0,167.0,7,1479,Attchd,558,VinylSd,1479,0,4,0,4,CollgCr,Normal,2003,Lvl,4,WD,RFn,5,2,144,1013,72.0,2003,VinylSd,7,1453,226000
0,1945.0,0.0,4,747,Attchd,220,MetalSd,747,0,3,0,3,OldTown,Normal,1950,Lvl,3,WD,Unf,6,1,0,0,47.0,1945,MetalSd,4,747,80000
0,1953.0,0.0,7,2287,Attchd,667,AsbShng,1304,983,3,3,3,ClearCr,Normal,1953,Lvl,4,WD,Fin,4,2,0,603,81.0,1953,BrkFace,7,1304,225000
3,1973.0,1115.0,7,2223,Attchd,516,Plywood,2223,0,4,4,3,NAmes,Normal,1973,Lvl,3,WD,Fin,6,2,300,1880,95.0,1973,Plywood,8,2223,244000
0,1987.0,0.0,4,845,Detchd,360,Plywood,845,0,3,0,3,Mitchel,Normal,2006,Lvl,3,WD,Unf,6,2,0,565,69.0,1982,HdBoard,4,845,129500
0,1998.0,40.0,7,1718,Attchd,427,VinylSd,885,833,4,3,3,Gilbert,Normal,1998,Lvl,3,WD,Fin,5,2,0,0,74.0,1998,VinylSd,7,832,185000
0,1989.0,104.0,5,1086,Attchd,490,Wd Sdng,1086,0,3,0,3,NAmes,Normal,2003,Lvl,3,WD,Unf,7,2,0,320,85.0,1954,Wd Sdng,6,1086,144900
0,1915.0,0.0,3,1605,Detchd,379,VinylSd,840,765,2,0,3,OldTown,Normal,1950,Lvl,4,WD,Unf,6,1,0,0,60.0,1915,VinylSd,8,840,107400
3,1973.0,0.0,4,988,BuiltIn,297,CmentBd,526,462,4,0,3,MeadowV,Normal,1973,Lvl,3,WD,Unf,5,1,120,462,21.0,1973,CemntBd,5,462,91000
0,1956.0,0.0,4,952,Detchd,283,VinylSd,952,0,3,0,3,NAmes,Normal,1956,Lvl,3,WD,Unf,7,1,0,228,,1956,VinylSd,4,952,135750
0,1948.0,0.0,5,1285,Detchd,240,Wd Sdng,1072,213,3,0,3,BrkSide,Normal,2001,Lvl,3,WD,Unf,5,1,0,336,50.0,1948,Wd Sdng,6,672,127000
0,,0.0,4,1768,,0,HdBoard,1768,0,3,0,3,Sawyer,Normal,1968,Lvl,3,WD,,5,0,0,0,72.0,1968,HdBoard,8,1768,136500
0,1966.0,0.0,5,1230,Detchd,440,Wd Sdng,682,548,3,0,3,OldTown,Normal,1981,Lvl,3,WD,Unf,6,2,74,0,60.0,1910,Wd Sdng,5,440,110000
0,1968.0,576.0,6,2142,Attchd,509,VinylSd,1182,960,4,4,4,NAmes,Normal,1968,Lvl,3,WD,Fin,6,1,0,448,100.0,1968,VinylSd,8,896,193500
0,1998.0,443.0,6,1337,Attchd,405,VinylSd,1337,0,5,0,3,Mitchel,Normal,1998,Lvl,3,WD,Fin,5,2,0,1201,32.0,1998,VinylSd,5,1237,153500
0,2007.0,468.0,8,1563,Attchd,758,VinylSd,1563,0,4,4,4,Somerst,Normal,2007,Lvl,3,WD,RFn,5,3,144,33,78.0,2007,VinylSd,6,1563,245000
0,1974.0,66.0,5,1065,Detchd,461,MetalSd,1065,0,3,0,3,NAmes,Normal,1960,Lvl,3,COD,Unf,5,2,74,0,80.0,1960,MetalSd,6,1065,126500
0,1995.0,22.0,7,1474,BuiltIn,400,HdBoard,804,670,4,3,3,Gilbert,Normal,1996,Lvl,3,WD,Fin,5,2,120,0,,1995,HdBoard,7,384,168500
0,1991.0,284.0,8,2417,Attchd,462,HdBoard,1301,1116,4,3,4,NoRidge,Normal,1992,Lvl,4,WD,Unf,5,2,127,0,121.0,1991,HdBoard,9,1288,260000
2,2005.0,0.0,6,1560,BuiltIn,400,VinylSd,684,876,4,4,4,Gilbert,Normal,2005,Lvl,4,WD,Fin,5,2,100,0,122.0,2005,VinylSd,6,684,174000
2,2009.0,76.0,6,1224,Detchd,528,VinylSd,612,612,4,0,4,Somerst,Partial,2009,Lvl,4,New,RFn,5,2,0,0,40.0,2009,VinylSd,4,612,164500
0,,0.0,3,1526,,0,Plywood,1013,0,3,0,2,IDOTRR,Abnorml,1982,Lvl,2,ConLD,,2,0,0,0,105.0,1915,Plywood,6,1013,85000
0,,0.0,4,990,,0,VinylSd,990,0,4,0,3,CollgCr,Normal,1995,Lvl,3,WD,,5,0,0,588,60.0,1994,VinylSd,5,990,123600
0,1950.0,0.0,4,1040,Detchd,420,Wd Sdng,1040,0,0,0,3,NAmes,Normal,1950,Lvl,3,WD,Unf,5,2,0,0,60.0,1950,BrkFace,4,0,109900
0,1961.0,203.0,5,1235,Attchd,480,HdBoard,1235,0,3,0,3,NAmes,Abnorml,1961,Lvl,3,WD,Unf,3,2,0,600,85.0,1961,HdBoard,6,1235,98600
0,1921.0,0.0,5,964,Detchd,432,Wd Sdng,964,0,4,0,3,Crawfor,Normal,2006,HLS,3,WD,Unf,7,2,0,713,80.0,1921,Wd Sdng,5,876,163500
1,1900.0,0.0,6,2291,Detchd,506,MetalSd,1260,1031,3,4,3,OldTown,Normal,1998,Lvl,3,WD,Unf,6,2,0,1046,60.0,1910,MetalSd,9,1214,133900
0,1997.0,0.0,6,1786,Attchd,684,VinylSd,905,881,4,0,4,CollgCr,Normal,1997,Lvl,3,WD,RFn,5,2,0,648,69.0,1997,VinylSd,7,824,204750
0,1993.0,68.0,6,1470,BuiltIn,420,VinylSd,680,790,4,3,3,Gilbert,Normal,1993,Lvl,5,WD,Fin,8,2,232,310,,1993,VinylSd,6,680,185000
2,1999.0,183.0,7,1588,Attchd,472,VinylSd,1588,0,4,0,4,CollgCr,Normal,1999,Lvl,4,WD,RFn,5,2,158,1162,78.0,1999,VinylSd,6,1588,214000
0,1965.0,48.0,4,960,Attchd,432,HdBoard,960,0,3,0,3,Edwards,Normal,1965,HLS,3,WD,Fin,5,1,120,520,73.0,1965,HdBoard,6,960,94750
0,1920.0,0.0,5,835,Basment,366,Wd Sdng,835,0,3,0,3,Edwards,Abnorml,1950,Lvl,3,COD,Unf,5,1,0,108,85.0,1920,Wd Sdng,5,458,83000
0,,0.0,4,1225,,0,Plywood,1225,0,3,0,3,NAmes,Normal,1959,Lvl,3,WD,,5,0,352,569,77.0,1959,Plywood,6,950,128950
1,1977.0,28.0,6,1610,Attchd,480,Plywood,1610,0,3,3,4,NWAmes,Normal,2001,Lvl,3,WD,RFn,7,2,168,1200,,1977,Plywood,6,1610,205000
0,1985.0,336.0,6,1732,Attchd,476,HdBoard,977,755,4,3,4,SawyerW,Normal,1985,Lvl,4,WD,Fin,5,2,192,0,77.0,1985,HdBoard,7,741,178000
0,1979.0,0.0,5,1535,Attchd,410,HdBoard,1535,0,0,0,3,SawyerW,Alloca,1979,Bnk,3,WD,Unf,5,2,0,0,64.0,1979,HdBoard,8,0,118964
0,2009.0,0.0,7,1226,Attchd,740,VinylSd,1226,0,4,0,4,CollgCr,Normal,2009,Lvl,3,WD,RFn,5,3,0,0,94.0,2009,VinylSd,6,1226,198900
0,1951.0,600.0,7,1818,Detchd,240,Stucco,1226,592,3,3,3,IDOTRR,Normal,1950,Lvl,3,WD,Unf,4,1,0,224,,1931,Stucco,7,1040,169500
0,2003.0,768.0,8,1992,Attchd,648,VinylSd,1053,939,5,4,4,Somerst,Normal,2004,Lvl,4,WD,RFn,5,2,140,0,75.0,2003,VinylSd,9,1053,250000
0,1954.0,0.0,4,1047,Detchd,273,VinylSd,1047,0,2,0,3,OldTown,Normal,1995,Lvl,3,WD,Unf,7,1,0,0,60.0,1885,VinylSd,6,641,100000
0,1948.0,0.0,5,789,Detchd,250,VinylSd,789,0,3,0,3,OldTown,Partial,1950,Lvl,3,WD,Unf,5,1,0,104,50.0,1948,VinylSd,5,789,115000
0,,0.0,5,1517,,0,CmentBd,997,520,3,0,2,IDOTRR,Normal,2005,Lvl,3,WD,,7,0,0,0,85.0,1919,CemntBd,7,793,115000
0,1977.0,480.0,6,1844,Attchd,546,Plywood,1844,0,4,3,3,NWAmes,Normal,1977,Lvl,3,COD,RFn,6,2,0,705,105.0,1977,Plywood,7,1844,190000
0,1954.0,0.0,6,1855,Attchd,325,Wd Sdng,1216,639,3,0,3,Edwards,Normal,1972,Lvl,3,WD,Unf,4,1,182,444,75.0,1954,Wd Sdng,7,994,136900
0,2000.0,0.0,7,1430,BuiltIn,400,VinylSd,774,656,4,3,3,Gilbert,Normal,2000,Lvl,3,WD,Fin,5,2,180,250,,2000,VinylSd,7,384,180000
2,2007.0,220.0,7,2696,BuiltIn,792,VinylSd,1282,1414,5,4,5,CollgCr,Partial,2007,Lvl,4,New,Fin,5,3,120,984,77.0,2007,VinylSd,10,1264,383970
1,1953.0,184.0,6,2259,Basment,450,Wd Sdng,2259,0,4,4,4,Crawfor,Abnorml,1953,Bnk,3,COD,Unf,5,2,166,35,,1953,Wd Sdng,7,1809,217000
0,1945.0,0.0,6,2320,Detchd,180,Wd Sdng,1436,884,3,3,4,Crawfor,Normal,2002,Lvl,3,WD,Unf,8,1,224,774,61.0,1945,Wd Sdng,9,1028,259500
0,1999.0,1129.0,6,1458,Detchd,440,MetalSd,729,729,4,2,3,Somerst,Normal,1999,Lvl,3,WD,Unf,5,2,0,419,34.0,1999,MetalSd,5,729,176000
0,1962.0,116.0,5,1092,Attchd,288,Wd Sdng,1092,0,3,1,3,Sawyer,Normal,1962,Lvl,3,WD,Unf,5,1,0,170,,1962,Wd Sdng,6,1092,139000
0,2007.0,0.0,5,1125,Attchd,430,VinylSd,1125,0,4,0,3,Edwards,Partial,2007,Lvl,3,New,Unf,5,2,80,0,74.0,2006,VinylSd,5,1125,155000
1,1990.0,0.0,7,3222,Attchd,594,Plywood,1699,1523,4,3,4,SawyerW,Normal,1990,Lvl,3,WD,Unf,5,3,367,1470,90.0,1990,Plywood,11,1673,320000
0,2005.0,0.0,6,1456,Attchd,390,VinylSd,728,728,4,4,4,CollgCr,Partial,2006,Lvl,4,New,Fin,5,2,0,0,65.0,2005,VinylSd,8,728,163990
3,1969.0,0.0,6,988,Attchd,540,Plywood,988,0,3,3,3,ClearCr,Normal,1969,Low,3,WD,Unf,5,2,0,938,,1969,Plywood,4,938,180000
0,1979.0,0.0,4,1123,Detchd,264,AsbShng,772,351,3,0,3,IDOTRR,Normal,1950,Lvl,3,WD,Unf,5,1,0,0,50.0,1939,AsbShng,4,732,100000
0,1958.0,135.0,6,1080,Attchd,288,MetalSd,1080,0,3,0,3,NAmes,Normal,1958,Lvl,3,WD,Unf,7,1,0,570,75.0,1958,MetalSd,5,1080,136000
0,1993.0,0.0,6,1199,Attchd,530,Plywood,1199,0,4,0,4,SawyerW,Normal,1993,Lvl,4,WD,RFn,5,2,0,300,55.0,1993,Plywood,5,1199,153900
0,1979.0,0.0,6,1586,Attchd,435,HdBoard,1586,0,4,3,3,NWAmes,Normal,1998,Lvl,3,WD,Unf,5,2,192,0,48.0,1979,HdBoard,7,1362,181000
2,,0.0,6,754,,0,Wd Sdng,520,0,3,0,3,IDOTRR,Normal,1982,Lvl,3,WD,,8,0,53,490,60.0,1935,Wd Sdng,5,520,84500
0,1977.0,0.0,6,958,Attchd,440,Plywood,958,0,4,3,3,NPkVill,Normal,1976,Lvl,3,WD,RFn,5,2,0,120,,1976,Plywood,5,1078,128000
0,,0.0,5,840,,0,Wd Sdng,840,0,3,3,3,OldTown,Normal,1950,Bnk,3,WD,,7,0,0,116,55.0,1930,WdShing,5,672,87000
0,1966.0,266.0,6,1348,Attchd,453,VinylSd,660,688,3,2,3,NAmes,Normal,1966,Lvl,3,WD,RFn,5,2,188,512,69.0,1966,VinylSd,6,660,155000
0,1998.0,85.0,5,1053,2Types,750,Plywood,1053,0,3,0,5,NAmes,Abnorml,1991,Lvl,3,WD,RFn,7,2,0,567,69.0,1958,Plywood,6,1008,150000
0,1966.0,309.0,7,2157,Attchd,487,MetalSd,1216,941,3,4,4,NAmes,Normal,1966,Lvl,3,WD,Fin,6,2,105,445,88.0,1966,MetalSd,8,924,226000
0,2000.0,40.0,6,2054,BuiltIn,390,VinylSd,1022,1032,4,3,4,Gilbert,Normal,2000,Lvl,4,WD,RFn,5,2,24,695,,2000,VinylSd,7,992,244000
0,1974.0,0.0,5,1327,Detchd,624,MetalSd,1327,0,3,0,4,NAmes,Normal,2002,Lvl,3,WD,Unf,6,2,0,405,75.0,1959,MetalSd,7,1063,150750
0,2001.0,136.0,8,1296,Attchd,471,VinylSd,1296,0,5,0,4,Timber,Normal,2002,Lvl,4,WD,Fin,5,2,192,1005,,2001,VinylSd,6,1267,220000
0,1968.0,0.0,5,1721,Attchd,440,Plywood,1721,0,3,3,3,Sawyer,Normal,1993,Lvl,3,WD,RFn,6,2,0,570,78.0,1968,Plywood,7,1461,180000
0,1970.0,288.0,7,1682,Attchd,530,Plywood,1682,0,3,4,3,NWAmes,Normal,1970,Lvl,3,WD,Unf,6,2,98,0,80.0,1970,Plywood,7,1304,174000
0,1967.0,196.0,5,1214,Attchd,318,MetalSd,1214,0,3,2,3,NAmes,Normal,1967,Lvl,3,WD,RFn,5,1,0,695,,1967,MetalSd,5,1214,143000
0,1989.0,70.0,7,1959,2Types,766,VinylSd,1959,0,3,0,3,Mitchel,Family,1989,Lvl,3,WD,Unf,5,3,0,0,82.0,1988,VinylSd,9,1907,171000
1,1999.0,320.0,8,1852,Attchd,660,VinylSd,1004,848,4,3,4,CollgCr,Normal,2000,Lvl,4,WD,Fin,5,3,224,668,73.0,1999,VinylSd,7,1004,230000
0,1997.0,0.0,6,1764,Attchd,470,VinylSd,928,836,4,0,4,CollgCr,Normal,1997,Lvl,3,WD,RFn,5,2,276,821,65.0,1997,VinylSd,7,928,231500
0,,0.0,4,864,,0,HdBoard,864,0,3,1,3,NAmes,Normal,1971,Lvl,3,ConLI,,5,0,0,432,70.0,1971,HdBoard,5,864,115000
2,2005.0,0.0,7,1734,Attchd,660,VinylSd,1734,0,4,0,4,CollgCr,Normal,2005,Lvl,4,WD,Fin,5,2,160,1300,78.0,2005,VinylSd,7,1734,260000
0,2000.0,0.0,5,1385,Detchd,720,Wd Sdng,910,475,3,0,3,NAmes,Normal,1952,Lvl,3,WD,Unf,4,2,0,507,71.0,1952,BrkFace,6,910,166000
