RemodAge,TotalArea,BsmtExposure,MasVnrArea,GarageType,LotArea,FireplaceQu,Exterior2nd,BsmtQual,TotalFinSF,KitchenQual,Neighborhood,SaleCondition,FullBath,GarageAge,HouseStyle,MSZoning,LandContour,SaleType,GarageFinish,Foundation,GarageCars,WoodDeckSF,OverallScore,LotFrontage,Exterior1st,TotRmsAbvGrd,SalePrice
41,2852,0,101.0,Attchd,8658,3,Wd Sdng,3,1967,3,NAmes,Abnorml,2,41.0,1Story,RL,Lvl,WD,RFn,CBlock,2,0,5.699999999999999,84.0,Wd Sdng,6,160000
48,2986,3,0.0,Attchd,16905,4,VinylSd,3,2295,3,Timber,Normal,1,48.0,1Story,RL,Lvl,WD,RFn,CBlock,1,0,5.3,115.0,VinylSd,5,170000
24,2228,2,0.0,Attchd,9180,0,HdBoard,4,1724,4,SawyerW,Normal,1,24.0,SFoyer,RL,Lvl,WD,RFn,CBlock,2,240,5.6,,HdBoard,5,144000
28,2184,2,0.0,Detchd,9200,0,VinylSd,4,1709,3,CollgCr,Normal,1,31.0,1Story,RL,Lvl,WD,Unf,CBlock,1,145,5.3,,VinylSd,5,130250
47,2600,0,0.0,Attchd,7945,0,Wd Sdng,3,1835,3,NAmes,Normal,1,47.0,1Story,RL,Lvl,WD,RFn,CBlock,1,0,5.3,70.0,BrkFace,6,141000
5,4080,0,412.0,Attchd,7658,4,MetalSd,5,2208,5,NridgHt,Normal,2,5.0,1Story,RL,Lvl,WD,RFn,PConc,2,196,7.8,61.0,MetalSd,6,319900
6,4253,0,0.0,Attchd,12822,5,VinylSd,5,3500,4,Mitchel,Abnorml,1,6.0,1.5Fin,RL,Lvl,WD,RFn,PConc,2,168,6.3999999999999995,48.0,VinylSd,6,239686
1,4138,2,0.0,Attchd,11096,0,VinylSd,4,1680,4,Somerst,Normal,2,1.0,1Story,FV,Lvl,WD,RFn,PConc,3,0,7.1,84.0,VinylSd,7,249700
1,2188,0,0.0,,4456,0,MetalSd,3,1452,3,OldTown,Partial,2,,2Story,RM,Lvl,New,,BrkTil,0,0,4.3,33.0,MetalSd,8,113000
41,2296,0,0.0,Attchd,7742,0,HdBoard,3,1718,3,Sawyer,Normal,1,41.0,1Story,RL,Lvl,WD,Unf,CBlock,1,0,5.6,66.0,HdBoard,6,127000
10,2652,2,0.0,Attchd,13869,0,VinylSd,4,1652,3,Gilbert,Normal,2,10.0,2Story,RL,Lvl,WD,Fin,PConc,2,0,5.999999999999999,,VinylSd,6,177000
56,2520,0,0.0,Detchd,6240,4,Wd Sdng,3,816,3,BrkSide,Normal,1,21.0,1.5Fin,RM,Lvl,WD,Unf,PConc,2,112,5.999999999999999,52.0,Wd Sdng,6,114500
47,2148,3,0.0,CarPort,8472,0,Wd Sdng,4,1632,3,IDOTRR,Normal,1,47.0,1Story,RM,Bnk,WD,Unf,CBlock,2,106,5.0,110.0,Wd Sdng,5,110000
19,4578,3,0.0,Attchd,50271,4,Wd Shng,5,3652,4,Veenker,Normal,0,25.0,1Story,RL,Low,WD,Fin,CBlock,3,857,7.8,68.0,WdShing,5,385000
52,2316,0,0.0,Detchd,7134,3,MetalSd,3,1744,3,NAmes,Normal,1,45.0,SLvl,RL,Bnk,WD,Unf,CBlock,2,0,5.0,60.0,MetalSd,6,130000
44,3426,0,272.0,Attchd,10175,4,Plywood,3,1915,3,NAmes,Normal,2,44.0,1Story,RL,Lvl,WD,RFn,CBlock,2,0,5.699999999999999,100.0,HdBoard,7,180500
9,3189,0,456.0,Attchd,2645,0,MetalSd,4,2388,4,Somerst,Abnorml,2,10.0,2Story,FV,Lvl,WD,Fin,PConc,2,115,7.1,24.0,MetalSd,7,172500
2,3145,0,0.0,Attchd,11645,0,VinylSd,4,1720,4,CollgCr,Normal,2,2.0,2Story,RL,Lvl,WD,RFn,PConc,2,0,6.3999999999999995,89.0,VinylSd,7,196500
0,4996,3,1031.0,BuiltIn,13682,4,VinylSd,5,2945,4,StoneBr,Partial,3,0.0,2Story,RL,HLS,New,Fin,PConc,3,192,8.5,66.0,VinylSd,10,438780
36,1912,2,0.0,Detchd,7200,0,HdBoard,3,1412,3,CollgCr,Normal,1,35.0,1Story,RL,Bnk,WD,Unf,CBlock,1,196,5.6,60.0,HdBoard,4,124900
2,2892,0,0.0,Detchd,13072,0,VinylSd,4,2099,4,SawyerW,Partial,1,0.0,1Story,RL,Lvl,New,Unf,PConc,2,0,5.699999999999999,63.0,VinylSd,5,158000
11,1929,0,0.0,Detchd,7200,0,MetalSd,3,1111,2,IDOTRR,Normal,1,72.0,2.5Unf,RM,Lvl,WD,Unf,BrkTil,1,0,5.6,60.0,MetalSd,6,101000
1,3224,1,178.0,Attchd,6442,4,VinylSd,4,1394,4,NridgHt,Normal,2,1.0,1Story,RL,Lvl,WD,RFn,PConc,2,120,7.1,44.0,VinylSd,6,202500
60,2766,0,0.0,Detchd,10300,0,Stucco,3,1710,3,OldTown,Normal,2,20.0,2Story,RM,Bnk,WD,Unf,BrkTil,2,12,6.699999999999999,50.0,Stucco,9,140000
11,3736,0,573.0,Attchd,9375,0,VinylSd,4,2773,4,CollgCr,Normal,2,11.0,2Story,RL,Lvl,WD,RFn,PConc,2,576,6.3999999999999995,,VinylSd,8,219500
2,4468,2,344.0,BuiltIn,9591,4,VinylSd,5,2473,4,NridgHt,Normal,2,3.0,2Story,RL,Lvl,WD,RFn,PConc,3,192,7.1,76.0,VinylSd,9,317000
21,4730,3,287.0,Attchd,19900,4,Plywood,4,3119,3,NAmes,Normal,2,40.0,1Story,RL,Lvl,WD,RFn,CBlock,2,301,6.3999999999999995,,Plywood,7,180000
4,3490,2,167.0,Attchd,10665,0,VinylSd,4,2492,4,CollgCr,Normal,2,4.0,1Story,RL,Lvl,WD,RFn,PConc,2,144,6.3999999999999995,72.0,VinylSd,7,226000
60,1714,0,0.0,Attchd,4608,0,MetalSd,3,747,3,OldTown,Normal,1,65.0,1Story,RM,Lvl,WD,Unf,CBlock,1,0,4.6,47.0,MetalSd,4,80000
53,4258,0,0.0,Attchd,15593,3,AsbShng,3,2890,3,ClearCr,Normal,2,53.0,1.5Fin,RL,Lvl,WD,Fin,CBlock,2,0,6.1,81.0,BrkFace,7,225000
34,4962,3,1115.0,Attchd,13651,4,Plywood,4,4103,3,NAmes,Normal,2,34.0,1Story,RL,Lvl,WD,Fin,CBlock,2,300,6.699999999999999,95.0,Plywood,8,244000
1,2050,0,0.0,Detchd,7599,0,Plywood,3,1410,3,Mitchel,Normal,1,20.0,1Story,RL,Lvl,WD,Unf,CBlock,2,0,4.6,69.0,HdBoard,4,129500
11,2977,0,40.0,Attchd,10141,3,VinylSd,4,1718,3,Gilbert,Normal,2,11.0,2Story,RL,Lvl,WD,Fin,PConc,2,0,6.3999999999999995,74.0,VinylSd,7,185000
7,2662,0,104.0,Attchd,10200,0,Wd Sdng,3,1768,3,NAmes,Normal,1,21.0,1Story,RL,Lvl,WD,Unf,CBlock,2,0,5.6,85.0,Wd Sdng,6,144900
60,2824,0,0.0,Detchd,5790,0,VinylSd,2,1605,3,OldTown,Normal,2,95.0,2Story,RM,Lvl,WD,Unf,CBlock,1,0,3.8999999999999995,60.0,VinylSd,8,107400
36,1747,3,0.0,BuiltIn,1596,0,CmentBd,4,1450,3,MeadowV,Normal,1,36.0,SLvl,RM,Lvl,WD,Unf,CBlock,1,120,4.3,21.0,CemntBd,5,91000
52,2187,0,0.0,Detchd,8475,0,VinylSd,3,1180,3,NAmes,Normal,1,52.0,1Story,RL,Lvl,WD,Unf,CBlock,1,0,4.9,,VinylSd,4,135750
7,2197,0,0.0,Detchd,8635,0,Wd Sdng,3,1662,3,BrkSide,Normal,1,60.0,1.5Fin,RM,Lvl,WD,Unf,CBlock,1,0,5.0,50.0,Wd Sdng,6,127000
42,3536,0,0.0,,10778,0,HdBoard,3,1768,3,Sawyer,Normal,2,,1Story,RL,Lvl,WD,,CBlock,0,0,4.3,72.0,HdBoard,8,136500
28,2110,0,0.0,Detchd,10440,0,Wd Sdng,3,1230,3,OldTown,Normal,1,43.0,2Story,RM,Lvl,WD,Unf,PConc,2,74,5.3,60.0,Wd Sdng,5,110000
41,3547,0,576.0,Attchd,13000,4,VinylSd,4,2590,4,NAmes,Normal,2,41.0,2Story,RL,Lvl,WD,Fin,CBlock,1,0,5.999999999999999,100.0,VinylSd,8,193500
8,2979,0,443.0,Attchd,4500,0,VinylSd,5,2538,3,Mitchel,Normal,2,8.0,1Story,RM,Lvl,WD,Fin,PConc,2,0,5.699999999999999,32.0,VinylSd,5,153500
1,3884,0,468.0,Attchd,10206,4,VinylSd,4,1596,4,Somerst,Normal,2,1.0,1Story,RL,Lvl,WD,RFn,PConc,3,144,7.1,78.0,VinylSd,6,245000
47,2591,0,66.0,Detchd,8892,0,MetalSd,3,1065,3,NAmes,Normal,1,33.0,1Story,RL,Lvl,COD,Unf,CBlock,2,74,5.0,80.0,MetalSd,6,126500
13,2258,0,22.0,BuiltIn,8530,3,HdBoard,4,1474,3,Gilbert,Normal,2,14.0,SLvl,RL,Lvl,WD,Fin,PConc,2,120,6.3999999999999995,,HdBoard,7,168500
14,4167,0,284.0,Attchd,16059,3,HdBoard,4,2417,4,NoRidge,Normal,2,15.0,2Story,RL,Lvl,WD,Unf,CBlock,2,127,7.1,121.0,HdBoard,9,260000
4,2644,2,0.0,BuiltIn,11911,4,VinylSd,4,1560,4,Gilbert,Normal,2,4.0,2Story,RL,Lvl,WD,Fin,PConc,2,100,5.699999999999999,122.0,VinylSd,6,174000
0,2364,2,76.0,Detchd,3951,0,VinylSd,4,1224,4,Somerst,Partial,2,0.0,2Story,FV,Lvl,New,RFn,PConc,2,0,5.699999999999999,40.0,VinylSd,4,164500
27,2539,0,0.0,,8470,0,Plywood,3,1013,2,IDOTRR,Abnorml,1,,1.5Fin,C (all),Lvl,ConLD,,CBlock,0,0,2.6999999999999997,105.0,Plywood,6,85000
12,1980,0,0.0,,8070,0,VinylSd,4,1578,3,CollgCr,Normal,1,,1Story,RL,Lvl,WD,,PConc,0,0,4.3,60.0,VinylSd,5,123600
56,1460,0,0.0,Detchd,7200,0,Wd Sdng,0,1040,3,NAmes,Normal,1,56.0,1Story,RL,Lvl,WD,Unf,Slab,2,0,4.3,60.0,BrkFace,4,109900
45,2950,0,203.0,Attchd,8500,0,HdBoard,3,1835,3,NAmes,Abnorml,1,45.0,1Story,RL,Lvl,WD,Unf,CBlock,2,0,4.4,85.0,HdBoard,6,98600
3,2272,0,0.0,Detchd,13360,0,Wd Sdng,4,1677,3,Crawfor,Normal,1,88.0,1Story,RL,HLS,WD,Unf,BrkTil,2,0,5.6,80.0,Wd Sdng,5,163500
9,4011,1,0.0,Detchd,7200,4,MetalSd,3,3337,3,OldTown,Normal,2,107.0,2.5Unf,C (all),Lvl,WD,Unf,BrkTil,2,0,5.999999999999999,60.0,MetalSd,9,133900
10,3294,0,0.0,Attchd,9337,0,VinylSd,4,2434,4,CollgCr,Normal,2,10.0,2Story,RL,Lvl,WD,RFn,PConc,2,0,5.699999999999999,69.0,VinylSd,7,204750
16,2570,0,68.0,BuiltIn,9765,3,VinylSd,4,1780,3,Gilbert,Normal,2,16.0,2Story,RL,Lvl,WD,Fin,PConc,2,232,6.6,,VinylSd,6,185000
7,3648,2,183.0,Attchd,10264,0,VinylSd,4,2750,4,CollgCr,Normal,2,7.0,1Story,RL,Lvl,WD,RFn,PConc,2,158,6.3999999999999995,78.0,VinylSd,6,214000
42,2352,0,48.0,Attchd,10921,0,HdBoard,3,1480,3,Edwards,Normal,1,42.0,1Story,RL,HLS,WD,Fin,CBlock,1,120,4.3,73.0,HdBoard,6,94750
60,1659,0,0.0,Basment,10625,0,Wd Sdng,3,943,3,Edwards,Abnorml,1,90.0,1Story,RL,Lvl,COD,Unf,BrkTil,1,0,5.0,85.0,Wd Sdng,5,83000
51,2175,0,0.0,,9320,0,Plywood,3,1794,3,NAmes,Normal,1,,1Story,RL,Lvl,WD,,CBlock,0,352,4.3,77.0,Plywood,6,128950
9,3700,1,28.0,Attchd,10603,3,Plywood,3,2810,4,NWAmes,Normal,2,33.0,1Story,RL,Lvl,WD,RFn,PConc,2,168,6.299999999999999,,Plywood,6,205000
25,2949,0,336.0,Attchd,9206,3,HdBoard,4,1732,4,SawyerW,Normal,2,25.0,2Story,RL,Lvl,WD,Fin,CBlock,2,192,5.699999999999999,77.0,HdBoard,7,178000
30,1945,0,0.0,Attchd,7018,0,HdBoard,0,1535,3,SawyerW,Alloca,2,30.0,1Story,RL,Bnk,WD,Unf,Slab,2,0,5.0,64.0,HdBoard,8,118964
1,3192,0,0.0,Attchd,10402,0,VinylSd,4,1226,4,CollgCr,Normal,2,1.0,1Story,RL,Lvl,WD,RFn,PConc,3,0,6.3999999999999995,94.0,VinylSd,6,198900
57,3098,0,600.0,Detchd,7758,3,Stucco,3,2042,3,IDOTRR,Normal,1,56.0,1.5Fin,RM,Lvl,WD,Unf,PConc,1,0,6.1,,Stucco,7,169500
4,3693,0,768.0,Attchd,9375,4,VinylSd,5,1992,4,Somerst,Normal,2,5.0,2Story,FV,Lvl,WD,RFn,PConc,2,140,7.1,75.0,VinylSd,9,250000
12,1961,0,0.0,Detchd,10800,0,VinylSd,2,1047,3,OldTown,Normal,1,53.0,1Story,RM,Lvl,WD,Unf,BrkTil,1,0,4.9,60.0,VinylSd,6,100000
58,1828,0,0.0,Detchd,6000,0,VinylSd,3,1062,3,OldTown,Partial,1,60.0,1Story,RM,Lvl,WD,Unf,CBlock,1,0,5.0,50.0,VinylSd,5,115000
2,2310,0,0.0,,8500,0,CmentBd,3,1517,2,IDOTRR,Normal,2,,1.5Fin,RM,Lvl,WD,,CBlock,0,0,5.6,85.0,CemntBd,7,115000
33,4234,0,480.0,Attchd,11751,3,Plywood,4,2549,3,NWAmes,Normal,2,33.0,1Story,RL,Lvl,COD,RFn,CBlock,2,0,5.999999999999999,105.0,Plywood,7,190000
34,3174,0,0.0,Attchd,9525,0,Wd Sdng,3,2299,3,Edwards,Normal,2,52.0,1.5Fin,RL,Lvl,WD,Unf,CBlock,1,182,5.3999999999999995,75.0,Wd Sdng,7,136900
10,2214,0,0.0,BuiltIn,7750,3,VinylSd,4,1680,3,Gilbert,Normal,2,10.0,SLvl,RL,Lvl,WD,Fin,PConc,2,180,6.3999999999999995,,VinylSd,7,180000
0,4752,2,220.0,BuiltIn,9965,4,VinylSd,5,3680,5,CollgCr,Partial,2,0.0,2Story,RL,Lvl,New,Fin,PConc,3,120,6.3999999999999995,77.0,VinylSd,10,383970
54,4518,1,184.0,Basment,21000,4,Wd Sdng,4,3163,4,Crawfor,Abnorml,2,54.0,1Story,RL,Bnk,COD,Unf,CBlock,2,166,5.699999999999999,,Wd Sdng,7,217000
5,3528,0,0.0,Detchd,7259,3,Wd Sdng,3,3244,4,Crawfor,Normal,2,62.0,2Story,RL,Lvl,WD,Unf,CBlock,1,224,6.6,61.0,Wd Sdng,9,259500
8,2627,0,1129.0,Detchd,3230,2,MetalSd,4,1877,3,Somerst,Normal,2,8.0,2Story,FV,Lvl,WD,Unf,PConc,2,0,5.699999999999999,34.0,MetalSd,5,176000
47,2472,0,116.0,Attchd,11616,1,Wd Sdng,3,1932,3,Sawyer,Normal,1,47.0,1Story,RL,Lvl,WD,Unf,CBlock,1,0,5.0,,Wd Sdng,6,139000
0,2680,0,0.0,Attchd,8536,0,VinylSd,4,1125,3,Edwards,Partial,1,0.0,1Story,RL,Lvl,New,Unf,PConc,2,80,5.0,74.0,VinylSd,5,155000
20,5489,1,0.0,Attchd,12376,3,Plywood,4,4692,4,SawyerW,Normal,3,20.0,2Story,RL,Lvl,WD,Unf,PConc,3,367,6.3999999999999995,90.0,Plywood,11,320000
0,2574,0,0.0,Attchd,8461,4,VinylSd,4,1456,4,CollgCr,Partial,2,1.0,2Story,RL,Lvl,New,Fin,PConc,2,0,5.699999999999999,65.0,VinylSd,8,163990
37,2466,3,0.0,Attchd,21453,3,Plywood,3,1926,3,ClearCr,Normal,1,37.0,SLvl,RL,Low,WD,Unf,CBlock,2,0,5.699999999999999,,Plywood,4,180000
57,2119,0,0.0,Detchd,6060,0,AsbShng,3,1123,3,IDOTRR,Normal,1,28.0,1.5Fin,RM,Lvl,WD,Unf,PConc,1,0,4.3,50.0,AsbShng,4,100000
50,2448,0,135.0,Attchd,9464,0,MetalSd,3,1650,3,NAmes,Normal,1,50.0,1Story,RL,Lvl,WD,Unf,CBlock,1,0,6.299999999999999,75.0,MetalSd,5,136000
15,2928,0,0.0,Attchd,7892,0,Plywood,4,1499,4,SawyerW,Normal,2,15.0,1Story,RL,Lvl,WD,RFn,PConc,2,0,5.699999999999999,55.0,Plywood,5,153900
11,3383,0,0.0,Attchd,17043,3,HdBoard,4,1586,3,NWAmes,Normal,2,30.0,1Story,RL,Lvl,WD,Unf,CBlock,2,192,5.699999999999999,48.0,HdBoard,7,181000
24,1274,2,0.0,,6780,0,Wd Sdng,3,1010,3,IDOTRR,Normal,1,,1.5Fin,RM,Lvl,WD,,CBlock,0,53,6.6,60.0,Wd Sdng,5,84500
31,2476,0,0.0,Attchd,4928,3,Plywood,4,1078,3,NPkVill,Normal,2,30.0,1Story,RL,Lvl,WD,RFn,CBlock,2,0,5.699999999999999,,Plywood,5,128000
57,1512,0,0.0,,4388,3,Wd Sdng,3,956,3,OldTown,Normal,1,,1.5Unf,RM,Bnk,WD,,BrkTil,0,0,5.6,55.0,WdShing,5,87000
40,2461,0,266.0,Attchd,7590,2,VinylSd,3,1860,3,NAmes,Normal,1,40.0,2Story,RL,Lvl,WD,RFn,CBlock,2,188,5.699999999999999,69.0,VinylSd,6,155000
15,2811,0,85.0,2Types,8973,0,Plywood,3,1648,5,NAmes,Abnorml,1,8.0,1Story,RL,Lvl,WD,RFn,CBlock,2,0,5.6,69.0,Plywood,6,150000
40,3568,0,309.0,Attchd,14200,4,MetalSd,3,2602,4,NAmes,Normal,2,40.0,2Story,RL,Lvl,WD,Fin,CBlock,2,105,6.699999999999999,88.0,MetalSd,8,226000
9,3436,0,40.0,BuiltIn,12224,3,VinylSd,4,2749,4,Gilbert,Normal,2,9.0,2Story,RL,Lvl,WD,RFn,PConc,2,24,5.699999999999999,,VinylSd,7,244000
5,3014,0,0.0,Detchd,7388,0,MetalSd,3,1732,4,NAmes,Normal,1,33.0,1Story,RL,Lvl,WD,Unf,CBlock,2,0,5.3,75.0,MetalSd,7,150750
7,3034,0,136.0,Attchd,6853,0,VinylSd,5,2301,4,Timber,Normal,2,8.0,1Story,RL,Lvl,WD,Fin,PConc,2,192,7.1,,VinylSd,6,220000
13,3622,0,0.0,Attchd,10335,3,Plywood,3,2291,3,Sawyer,Normal,2,38.0,1Story,RL,Lvl,WD,RFn,CBlock,2,0,5.3,78.0,Plywood,7,180000
38,3516,0,288.0,Attchd,10400,4,Plywood,3,1682,3,NWAmes,Normal,2,38.0,1Story,RL,Lvl,WD,Unf,PConc,2,98,6.699999999999999,80.0,Plywood,7,174000
40,2746,0,196.0,Attchd,10355,2,MetalSd,3,1909,3,NAmes,Normal,2,40.0,1Story,RL,Lvl,WD,RFn,CBlock,1,0,5.0,,MetalSd,5,143000
17,4632,0,70.0,2Types,11070,0,VinylSd,3,1959,3,Mitchel,Family,3,17.0,1Story,RL,Lvl,WD,Unf,CBlock,3,0,6.3999999999999995,82.0,VinylSd,9,171000
8,3516,1,320.0,Attchd,9066,3,VinylSd,4,2520,4,CollgCr,Normal,2,9.0,2Story,RL,Lvl,WD,Fin,PConc,3,224,7.1,73.0,VinylSd,7,230000
