MSSubClass,MSZoning,LotFrontage,LotArea,Street,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinSF1,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice,BsmtFinType1_BLQ,BsmtFinType1_GLQ,BsmtFinType1_LwQ,BsmtFinType1_NoBasement,BsmtFinType1_Rec,BsmtFinType1_Unf,BsmtFinType2_BLQ,BsmtFinType2_GLQ,BsmtFinType2_LwQ,BsmtFinType2_NoBasement,BsmtFinType2_Rec,BsmtFinType2_Unf
20,RL,70.0,11200,Pave,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,5,1965,1965,Hip,CompShg,HdBoard,HdBoard,0.0,3,3,CBlock,3,3,0,906,0,134,1040,GasA,5,Y,SBrkr,1040,0,0,1040,1,0,1,0,3,1,3,5,Typ,0,0,Detchd,1965.0,Unf,1,384,3,3,Y,0,0,0,0,0,0,0,2,2008,WD,Normal,129500,False,False,False,False,True,False,False,False,False,False,False,True
60,RL,85.0,11924,Pave,IR1,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,2Story,9,5,2005,2006,Hip,CompShg,WdShing,Wd Shng,286.0,5,3,PConc,5,3,0,998,0,177,1175,GasA,5,Y,SBrkr,1182,1142,0,2324,1,0,3,0,4,1,5,11,Typ,2,4,BuiltIn,2005.0,Fin,3,736,3,3,Y,147,21,0,0,0,0,0,7,2006,New,Partial,345000,False,True,False,False,False,False,False,False,False,False,False,True
20,RL,,12968,Pave,IR2,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,6,1962,1962,Hip,CompShg,HdBoard,Plywood,0.0,3,3,CBlock,3,3,0,737,0,175,912,GasA,3,Y,SBrkr,912,0,0,912,1,0,1,0,2,1,3,4,Typ,0,0,Detchd,1962.0,Unf,1,352,3,3,Y,140,0,0,0,176,0,0,9,2008,WD,Normal,144000,False,False,False,False,False,False,False,False,False,False,False,True
20,RL,91.0,10652,Pave,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,7,5,2006,2007,Gable,CompShg,VinylSd,VinylSd,306.0,4,3,PConc,4,3,2,0,0,1494,1494,GasA,5,Y,SBrkr,1494,0,0,1494,0,0,2,0,3,1,4,7,Typ,1,4,Attchd,2006.0,RFn,3,840,3,3,Y,160,33,0,0,0,0,0,8,2007,New,Partial,279500,False,False,False,False,False,True,False,False,False,False,False,True
20,RL,,10920,Pave,IR1,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,5,1960,1960,Hip,CompShg,MetalSd,MetalSd,212.0,3,3,CBlock,3,3,0,733,0,520,1253,GasA,3,Y,SBrkr,1253,0,0,1253,1,0,1,1,2,1,3,5,Typ,1,2,Attchd,1960.0,RFn,1,352,3,3,Y,0,213,176,0,0,0,0,5,2008,WD,Normal,157000,True,False,False,False,False,False,False,False,False,False,False,True
45,RM,51.0,6120,Pave,Reg,Lvl,AllPub,Corner,Gtl,BrkSide,Norm,Norm,1Fam,1.5Unf,7,8,1929,2001,Gable,CompShg,Wd Sdng,Wd Sdng,0.0,3,3,BrkTil,3,3,0,0,0,832,832,GasA,5,Y,FuseA,854,0,0,854,0,0,1,0,2,1,3,5,Typ,0,0,Detchd,1991.0,Unf,2,576,3,3,Y,48,112,0,0,0,0,0,7,2007,WD,Normal,132000,False,False,False,False,False,True,False,False,False,False,False,True
20,RL,,11241,Pave,IR1,Lvl,AllPub,CulDSac,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,7,1970,1970,Gable,CompShg,Wd Sdng,Wd Sdng,180.0,3,3,CBlock,3,3,0,578,0,426,1004,GasA,5,Y,SBrkr,1004,0,0,1004,1,0,1,0,2,1,3,5,Typ,1,3,Attchd,1970.0,Fin,2,480,3,3,Y,0,0,0,0,0,0,700,3,2010,WD,Normal,149000,False,False,False,False,False,False,False,False,False,False,False,True
90,RL,72.0,10791,Pave,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,Duplex,1Story,4,5,1967,1967,Gable,CompShg,MetalSd,MetalSd,0.0,3,3,Slab,0,0,0,0,0,0,0,GasA,3,Y,SBrkr,1296,0,0,1296,0,0,2,0,2,2,3,6,Typ,0,0,CarPort,1967.0,Unf,2,516,3,3,Y,0,0,0,0,0,0,500,10,2006,WD,Normal,90000,False,False,False,True,False,False,False,False,False,True,False,False
20,RL,66.0,13695,Pave,Reg,Lvl,AllPub,Inside,Gtl,SawyerW,RRAe,Norm,1Fam,1Story,5,5,2004,2004,Gable,CompShg,VinylSd,VinylSd,0.0,3,3,PConc,3,3,0,646,0,468,1114,GasA,5,Y,SBrkr,1114,0,0,1114,1,0,1,1,3,1,4,6,Typ,0,0,Detchd,2004.0,Unf,2,576,3,3,Y,0,102,0,0,0,0,0,6,2008,WD,Normal,159000,False,True,False,False,False,False,False,False,False,False,False,True
20,RL,70.0,7560,Pave,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,1958,1965,Hip,CompShg,BrkFace,Plywood,0.0,3,3,CBlock,3,3,0,504,0,525,1029,GasA,3,Y,SBrkr,1339,0,0,1339,0,0,1,0,3,1,3,6,Min1,0,0,Attchd,1958.0,Unf,1,294,3,3,Y,0,0,0,0,0,0,0,5,2009,COD,Abnorml,139000,False,False,True,False,False,False,False,False,False,False,False,True
60,RL,101.0,14215,Pave,IR1,Lvl,AllPub,Corner,Gtl,NridgHt,Norm,Norm,1Fam,2Story,8,5,2005,2006,Gable,CompShg,VinylSd,VinylSd,380.0,4,3,PConc,5,3,2,0,0,1158,1158,GasA,5,Y,SBrkr,1158,1218,0,2376,0,0,3,1,4,1,4,9,Typ,1,4,BuiltIn,2005.0,RFn,3,853,3,3,Y,240,154,0,0,0,0,0,11,2006,New,Partial,325300,False,False,False,False,False,True,False,False,False,False,False,True
45,RM,57.0,7449,Pave,Reg,Bnk,AllPub,Inside,Gtl,IDOTRR,Norm,Norm,1Fam,1.5Unf,7,7,1930,1950,Gable,CompShg,Wd Sdng,Wd Sdng,0.0,3,3,PConc,3,3,0,0,0,637,637,GasA,5,Y,FuseF,1108,0,0,1108,0,0,1,0,3,1,4,6,Typ,1,4,Attchd,1930.0,Unf,1,280,3,3,N,0,0,205,0,0,0,0,6,2007,WD,Normal,139400,False,False,False,False,False,True,False,False,False,False,False,True
20,RL,75.0,9742,Pave,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,8,5,2002,2002,Hip,CompShg,VinylSd,VinylSd,281.0,4,3,PConc,4,3,0,0,0,1777,1777,GasA,5,Y,SBrkr,1795,0,0,1795,0,0,2,0,3,1,4,7,Typ,1,4,Attchd,2002.0,RFn,2,534,3,3,Y,171,159,0,0,0,0,0,9,2008,WD,Normal,230000,False,False,False,False,False,True,False,False,False,False,False,True
120,RM,44.0,4224,Pave,Reg,Lvl,AllPub,Inside,Gtl,MeadowV,Norm,Norm,TwnhsE,1Story,5,7,1976,1976,Gable,CompShg,CemntBd,CmentBd,0.0,3,3,PConc,4,3,0,840,0,200,1040,GasA,3,Y,SBrkr,1060,0,0,1060,1,0,1,0,3,1,3,6,Typ,1,3,Attchd,1976.0,Unf,2,572,3,3,Y,100,110,0,0,0,0,0,6,2007,WD,Normal,129900,False,True,False,False,False,False,False,False,False,False,False,True
20,RL,,8246,Pave,IR1,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,8,1968,2001,Gable,CompShg,Plywood,Plywood,0.0,3,4,CBlock,3,3,1,188,668,204,1060,GasA,5,Y,SBrkr,1060,0,0,1060,1,0,1,0,3,1,4,6,Typ,1,3,Attchd,1968.0,Unf,1,270,3,3,Y,406,90,0,0,0,0,0,5,2010,WD,Normal,154000,False,False,False,False,True,False,False,False,False,False,False,False
20,RL,110.0,14230,Pave,Reg,Lvl,AllPub,Corner,Gtl,NridgHt,Norm,Norm,1Fam,1Story,8,5,2007,2007,Gable,CompShg,VinylSd,VinylSd,640.0,4,3,PConc,4,3,0,0,0,1566,1566,GasA,5,Y,SBrkr,1600,0,0,1600,0,0,2,0,3,1,4,7,Typ,1,4,Attchd,2007.0,RFn,3,890,3,3,Y,0,56,0,0,0,0,0,7,2009,WD,Normal,256300,False,False,False,False,False,True,False,False,False,False,False,True
20,RL,60.0,7200,Pave,Reg,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,7,1951,2000,Gable,CompShg,Wd Sdng,Wd Sdng,0.0,3,3,CBlock,3,3,1,234,486,180,900,GasA,3,Y,SBrkr,900,0,0,900,0,1,1,0,3,1,4,5,Typ,0,0,Detchd,2005.0,Unf,2,576,3,3,Y,222,32,0,0,0,0,0,5,2010,WD,Normal,134800,True,False,False,False,False,False,False,False,False,False,True,False
20,RL,98.0,11478,Pave,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,1Story,8,5,2007,2008,Gable,CompShg,VinylSd,VinylSd,200.0,4,3,PConc,5,3,0,1218,0,486,1704,GasA,5,Y,SBrkr,1704,0,0,1704,1,0,2,0,3,1,4,7,Typ,1,4,Attchd,2008.0,RFn,3,772,3,3,Y,0,50,0,0,0,0,0,5,2010,WD,Normal,306000,False,True,False,False,False,False,False,False,False,False,False,True
20,RL,47.0,16321,Pave,IR1,Lvl,AllPub,CulDSac,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,1957,1997,Gable,CompShg,MetalSd,MetalSd,0.0,3,3,CBlock,3,3,3,1277,0,207,1484,GasA,3,Y,SBrkr,1600,0,0,1600,1,0,1,0,2,1,3,6,Typ,2,4,Attchd,1957.0,RFn,1,319,3,3,Y,288,258,0,0,0,0,0,12,2006,WD,Normal,207500,True,False,False,False,False,False,False,False,False,False,False,True
30,RM,60.0,6324,Pave,IR1,Lvl,AllPub,Inside,Gtl,BrkSide,Feedr,RRNn,1Fam,1Story,4,6,1927,1950,Gable,CompShg,MetalSd,MetalSd,0.0,3,3,BrkTil,3,3,0,0,0,520,520,GasA,2,N,SBrkr,520,0,0,520,0,0,1,0,1,1,2,4,Typ,0,0,Detchd,1920.0,Unf,1,240,2,3,Y,49,0,87,0,0,0,0,5,2008,WD,Normal,68500,False,False,False,False,False,True,False,False,False,False,False,True
70,C (all),50.0,8500,Pave,Reg,Lvl,AllPub,Inside,Gtl,IDOTRR,Feedr,Norm,1Fam,2Story,4,4,1920,1950,Gambrel,CompShg,BrkFace,BrkFace,0.0,3,2,BrkTil,3,3,0,0,0,649,649,GasA,3,N,SBrkr,649,668,0,1317,0,0,1,0,3,1,3,6,Typ,0,0,Detchd,1920.0,Unf,1,250,3,2,N,0,54,172,0,0,0,0,7,2008,WD,Normal,40000,False,False,False,False,False,True,False,False,False,False,False,True
20,RL,,8544,Pave,IR1,Lvl,AllPub,CulDSac,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,6,1966,2006,Gable,CompShg,HdBoard,HdBoard,0.0,3,3,CBlock,3,3,0,0,0,1228,1228,GasA,4,Y,SBrkr,1228,0,0,1228,0,0,1,1,3,1,4,6,Typ,0,0,Attchd,1966.0,Unf,1,271,3,3,Y,0,65,0,0,0,0,0,6,2008,WD,Normal,149350,False,False,False,False,False,True,False,False,False,False,False,True
20,RL,85.0,11049,Pave,Reg,Lvl,AllPub,Corner,Gtl,CollgCr,Norm,Norm,1Fam,1Story,8,5,2007,2007,Gable,CompShg,VinylSd,VinylSd,0.0,4,3,PConc,5,3,2,0,0,1234,1234,GasA,5,Y,SBrkr,1234,0,0,1234,0,0,2,0,3,1,4,7,Typ,0,0,Attchd,2007.0,RFn,2,484,3,3,Y,0,30,0,0,0,0,0,1,2008,WD,Normal,179900,False,False,False,False,False,True,False,False,False,False,False,True
20,RL,70.0,10552,Pave,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,5,1959,1959,Hip,CompShg,BrkFace,BrkFace,0.0,3,3,CBlock,3,3,0,1018,0,380,1398,GasA,4,Y,SBrkr,1700,0,0,1700,0,1,1,1,4,1,4,6,Typ,1,4,Attchd,1959.0,RFn,2,447,3,3,Y,0,38,0,0,0,0,0,4,2010,WD,Normal,165500,False,False,False,False,True,False,False,False,False,False,False,True
120,RL,60.0,7313,Pave,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,TwnhsE,1Story,9,5,2005,2005,Hip,CompShg,MetalSd,MetalSd,246.0,5,3,PConc,5,3,0,1153,0,408,1561,GasA,5,Y,SBrkr,1561,0,0,1561,1,0,2,0,2,1,5,6,Typ,1,4,Attchd,2005.0,Fin,2,556,3,3,Y,203,47,0,0,0,0,0,8,2007,WD,Normal,277500,False,True,False,False,False,False,False,False,False,False,False,True
60,RL,108.0,13418,Pave,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,2Story,8,5,2004,2005,Gable,CompShg,VinylSd,VinylSd,132.0,4,3,PConc,5,3,2,0,0,1117,1117,GasA,5,Y,SBrkr,1132,1320,0,2452,0,0,3,1,4,1,4,9,Typ,1,4,BuiltIn,2004.0,Fin,3,691,3,3,Y,113,32,0,0,0,0,0,9,2006,WD,Normal,309000,False,False,False,False,False,True,False,False,False,False,False,True
20,RL,112.0,10859,Pave,Reg,Lvl,AllPub,Corner,Gtl,CollgCr,Norm,Norm,1Fam,1Story,5,5,1994,1995,Gable,CompShg,VinylSd,VinylSd,0.0,3,3,PConc,4,3,0,0,0,1097,1097,GasA,5,Y,SBrkr,1097,0,0,1097,0,0,1,1,3,1,3,6,Typ,0,0,Attchd,1995.0,Unf,2,672,3,3,Y,392,64,0,0,0,0,0,6,2009,WD,Normal,145000,False,False,False,False,False,True,False,False,False,False,False,True
20,RL,74.0,8532,Pave,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,1954,1990,Hip,CompShg,Wd Sdng,Wd Sdng,650.0,3,3,CBlock,3,3,0,1213,0,84,1297,GasA,4,Y,SBrkr,1297,0,0,1297,0,1,1,0,3,1,3,5,Typ,1,3,Attchd,1954.0,Fin,2,498,3,3,Y,0,0,0,0,0,0,0,10,2009,WD,Normal,153000,False,False,False,False,True,False,False,False,False,False,False,True
20,RL,68.0,7922,Pave,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,7,1953,2007,Gable,CompShg,VinylSd,VinylSd,0.0,3,4,CBlock,3,3,0,731,0,326,1057,GasA,3,Y,SBrkr,1057,0,0,1057,1,0,1,0,3,1,4,5,Typ,0,0,Detchd,1953.0,Unf,1,246,3,3,Y,0,52,0,0,0,0,0,1,2010,WD,Abnorml,109000,False,True,False,False,False,False,False,False,False,False,False,True
90,RL,65.0,6040,Pave,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,Duplex,1Story,4,5,1955,1955,Gable,CompShg,AsbShng,Plywood,0.0,3,3,PConc,0,0,0,0,0,0,0,GasA,3,N,FuseP,1152,0,0,1152,0,0,2,0,2,2,2,6,Typ,0,0,,,,0,0,0,0,N,0,0,0,0,0,0,0,6,2008,WD,AdjLand,82000,False,False,False,True,False,False,False,False,False,True,False,False
20,RL,84.0,8658,Pave,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,5,1965,1965,Gable,CompShg,Wd Sdng,Wd Sdng,101.0,3,3,CBlock,3,3,0,643,0,445,1088,GasA,5,Y,SBrkr,1324,0,0,1324,0,0,2,0,3,1,3,6,Typ,1,3,Attchd,1965.0,RFn,2,440,3,3,Y,0,138,0,0,0,0,0,12,2006,WD,Abnorml,160000,False,False,False,False,True,False,False,False,False,False,False,True
20,RL,115.0,16905,Pave,Reg,Lvl,AllPub,Inside,Gtl,Timber,Norm,Norm,1Fam,1Story,5,6,1959,1959,Gable,CompShg,VinylSd,VinylSd,0.0,3,4,CBlock,3,3,3,967,0,383,1350,GasA,4,Y,SBrkr,1328,0,0,1328,0,1,1,1,2,1,3,5,Typ,2,4,Attchd,1959.0,RFn,1,308,3,3,P,0,104,0,0,0,0,0,7,2007,WD,Normal,170000,True,False,False,False,False,False,False,False,False,False,False,True
85,RL,,9180,Pave,IR1,Lvl,AllPub,CulDSac,Gtl,SawyerW,Norm,Norm,1Fam,SFoyer,5,7,1983,1983,Gable,CompShg,HdBoard,HdBoard,0.0,3,3,CBlock,4,3,2,747,93,0,840,GasA,4,Y,SBrkr,884,0,0,884,1,0,1,0,2,1,4,5,Typ,0,0,Attchd,1983.0,RFn,2,504,3,4,Y,240,0,0,0,0,0,0,12,2007,WD,Normal,144000,False,False,False,False,False,False,False,False,True,False,False,False
20,RL,,9200,Pave,IR1,Lvl,AllPub,CulDSac,Gtl,CollgCr,Norm,Norm,1Fam,1Story,5,6,1975,1980,Hip,CompShg,VinylSd,VinylSd,0.0,3,3,CBlock,4,3,2,280,491,167,938,GasA,3,Y,SBrkr,938,0,0,938,1,0,1,0,3,1,3,5,Typ,0,0,Detchd,1977.0,Unf,1,308,3,3,Y,145,0,0,0,0,0,0,7,2008,WD,Normal,130250,False,False,True,False,False,False,True,False,False,False,False,False
20,RL,70.0,7945,Pave,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,1959,1959,Gable,CompShg,BrkFace,Wd Sdng,0.0,3,3,CBlock,3,3,0,179,506,465,1150,GasA,5,Y,FuseA,1150,0,0,1150,1,0,1,0,3,1,3,6,Typ,0,0,Attchd,1959.0,RFn,1,300,3,3,Y,0,0,0,0,0,0,0,5,2006,WD,Normal,141000,False,False,False,False,False,False,True,False,False,False,False,False
120,RL,61.0,7658,Pave,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,TwnhsE,1Story,9,5,2005,2005,Hip,CompShg,MetalSd,MetalSd,412.0,5,3,PConc,5,3,0,456,0,1296,1752,GasA,5,Y,SBrkr,1752,0,0,1752,1,0,2,0,2,1,5,6,Typ,1,4,Attchd,2005.0,RFn,2,576,3,3,Y,196,82,0,0,0,0,0,2,2010,WD,Normal,319900,False,True,False,False,False,False,False,False,False,False,False,True
50,RL,48.0,12822,Pave,IR1,Lvl,AllPub,CulDSac,Gtl,Mitchel,Norm,Norm,1Fam,1.5Fin,7,5,2003,2003,Gable,CompShg,VinylSd,VinylSd,0.0,4,3,PConc,5,3,0,1351,0,83,1434,GasA,5,Y,SBrkr,1518,631,0,2149,1,0,1,1,1,1,4,6,Typ,1,5,Attchd,2003.0,RFn,2,670,3,3,Y,168,43,0,0,198,0,0,8,2009,WD,Abnorml,239686,False,True,False,False,False,False,False,False,False,False,False,True
20,FV,84.0,11096,Pave,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,1Story,8,5,2006,2006,Gable,CompShg,VinylSd,VinylSd,0.0,4,3,PConc,4,3,2,24,0,1632,1656,GasA,5,Y,SBrkr,1656,0,0,1656,0,0,2,0,3,1,4,7,Typ,0,0,Attchd,2006.0,RFn,3,826,3,3,Y,0,146,0,0,0,0,0,7,2007,WD,Normal,249700,False,True,False,False,False,False,False,False,False,False,False,True
190,RM,33.0,4456,Pave,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,2fmCon,2Story,4,5,1920,2008,Gable,CompShg,MetalSd,MetalSd,0.0,3,3,BrkTil,3,3,0,0,0,736,736,GasA,4,Y,SBrkr,736,716,0,1452,0,0,2,0,2,3,3,8,Typ,0,0,,,,0,0,0,0,N,0,0,102,0,0,0,0,6,2009,New,Partial,113000,False,False,False,False,False,True,False,False,False,False,False,True
20,RL,66.0,7742,Pave,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,7,1966,1966,Gable,CompShg,HdBoard,HdBoard,0.0,3,3,CBlock,3,3,0,763,0,192,955,GasA,5,Y,SBrkr,955,0,0,955,1,0,1,0,3,1,3,6,Typ,0,0,Attchd,1966.0,Unf,1,386,3,3,Y,0,0,0,0,0,0,0,1,2007,WD,Normal,127000,True,False,False,False,False,False,False,False,False,False,False,True
60,RL,,13869,Pave,IR2,Lvl,AllPub,Corner,Gtl,Gilbert,Norm,Norm,1Fam,2Story,6,6,1997,1997,Gable,CompShg,VinylSd,VinylSd,0.0,3,3,PConc,4,3,2,182,0,612,794,GasA,4,Y,SBrkr,794,676,0,1470,0,1,2,0,3,1,3,6,Typ,0,0,Attchd,1997.0,Fin,2,388,3,3,Y,0,75,0,0,0,0,0,7,2007,WD,Normal,177000,False,True,False,False,False,False,False,False,False,False,False,True
